iter,avg_time,std_time,max_time,max_min_diff_time,avg_tput_per_gpu,min_tput_per_gpu
0,20.9794442653656,0.012808570409499993,21.00489616394043,0.04300880432128906,8746694.987671172,8736096.50663353
1,20.973912000656128,0.009226343007487817,20.99135971069336,0.029632568359375,8749002.093374833,8741730.051270645
2,21.041327953338623,0.023395875385939388,21.069984436035156,0.06569671630859375,8720970.48280092,8709109.423268765
3,20.97861623764038,0.005242764315187535,20.98409652709961,0.016864776611328125,8747040.220448768,8744755.80890607
4,20.920212268829346,0.037972204594658526,20.961280822753906,0.13721656799316406,8771459.755855925,8754274.204504052
5,21.000659942626953,0.014209042538056016,21.01862335205078,0.03471946716308594,8737858.738788094,8730390.993094983
6,20.894108057022095,0.040818487771003886,20.93065643310547,0.14105606079101562,8782418.445391787,8767082.89520063
7,20.866955518722534,0.008923331266787321,20.875263214111328,0.029888153076171875,8793846.32009959,8790346.647028457
8,20.920900106430054,0.006890629785906397,20.928512573242188,0.016384124755859375,8771171.36769851,8767980.971309543
9,20.912204027175903,0.014178224646046633,20.934303283691406,0.037662506103515625,8774818.749928815,8765555.629594509
avg,20.948834037780763,N/A,20.969897651672362,N/A,8759528.116205841,8750732.31308112
